Video ID,Title,View Count,Like Count,Comment Count
kaS8fP12CGM,Project Blue Beam: Staging a Fake Alien Attack to Take Over the World,1743020,127401,13238
cHR-S4Ni7PE,COMPILATION: The Stories That Made Me a Believer,2652407,115131,9988
SJek6PsN2xg,Alien Implants Vol. 1: Devil’s Den UFO Encounter: What Was Found Inside Terry Lovelace?,2090591,109133,8092
t1eGM-dTZu0,Operation Sunray | Hunting the Entity in the Tsarichina Hole,2840332,121291,7222
vLfV9PowEbw,Accidental Time Travelers | The Mystery and Science of Time Slips,2476400,109567,10919
HCRZ1STWsCE,COMPILATION: Biblical Mysteries from Eden to Armageddon,3331873,63697,7462
reXi0C1JoHo,Illuminati Vol. 1: The Bilderberg Blueprint and Hidden Agenda of Global Elites,2730221,145002,19743
IAEsS4IOrBk,The Pascagoula UFO Incident | When Nightmares Come True,2198011,99484,7132
OAzikSDmslU,"Compilation: The Moon is Weird - No, really. The Moon does not make sense.",4321228,84530,10066
BzRR4Yg6B3w,Philadelphia to Montauk and Beyond | Al Bielek's Journey through Time and Space,2088863,104519,5095
2k7YTFrmt84,Operation Gladio | How The Mob Financed The CIA's Secret Army,2294122,108014,8278
Nr5yk9mxzSI,Compilation: Our Reality is an Illusion,2412213,79648,9672
zo68B3UG9VU,The Dark Side of DARPA | The Human Cost of Technological Supremacy,3512627,199761,17722
7e4Csdyx_J0,Compilation: Ancient Mysteries vol 1,3954464,71804,5563
WqHimq-PT_s,The Dark Side of the Moon | Alien Activity and the NASA Cover-Up,2634919,141844,10418
2SpXMu-B5mU,Compilation: Stories about the Apocalypse,4081114,74289,5910
Rg-Ocr5hNLI,Killer Patents & Secret Science Vol. 2 | Forbidden Medical Cures,2793470,141032,14751
mtfJFUeFofA,AFTER FILES! The Giants of Malta,380727,11751,703
-l_GdVh1LYE,Giants of Malta | Evidence the Ancient Builders are Hiding Underground,4120825,154113,7356
VVMpple3CJc,Subliminal Warfare | Mind Control and Invisible Influence,2134311,118458,9114
OvcCK-F6aKY,The Genetic Arms Race | How CRISPR and AI Destroy the World,2717911,132405,14875
xK0WZo04Cxo,AFTER FILES Live Stream: The Dark Pyramid of Alaska,511000,17160,1491
purPO8UE-9g,The Dark Pyramid of Alaska | Military Cover-up of a Forbidden Collaboration,4947646,193555,9315
EieUJvKrjo4,Our Alien Overlords | How We Secretly Serve The Tall Whites,3489358,181933,12040
-ZRwlYtAMps,Killer Patents & Secret Science Vol. 1 | Free Energy & Anti-Gravity Cover-Ups,3823143,201043,21248
DJuxIDyHZCw,"Martian Mysteries | The Phobos Incident, Monoliths, and Ancient Ruins",3352148,144680,6530
vZBRMcUkqNA,Annunaki | Gods from Planet Nibiru and the Makers of Man,6672382,238976,24803
Ymynk91cMas,Compilation: Weird & Bizarre stories!,3620367,77428,5436
Op_LNbZYQOQ,Compilation: Time Travel stories!,4913331,77930,6201
4XP_m5-ULnA,Compilation: UFOs & Aliens!,5489006,85179,5955
UjCiFCKE4mY,After Files Live Stream! Creepy Classics Compilation,295052,10644,598
rofTPRVwcas,Compilation: Creepy Classics!,3062660,75715,5791
-1p0mvfzPS8,"Creatures & Cryptid Files Vol 1: Bigfoot, Loch Ness Monster, and El Chupacabra",2997196,121340,9155
IQz7innxnms,Mysteries Beneath the Ice: The Secrets of Antarctica,4267604,188495,13544
GLP5UupAvSY,Lucid Dreams & Nightmares: Ever Dream This Man?,2567809,115269,17127
z_YeaMO2X0s,Knights Templar | Forbidden History and their Secret Quest for Atlantis,4801859,192304,15092
rRA5kyXgmrM,After Files! Panspermia - Life Seeding the Universe,434498,12292,701
xxZLBncNRXs,We Are the Aliens | Life's Interstellar Journey to Earth: Panspermia,3381115,140016,8232
9Rs_e21MJvA,READ & RESEARCH ALONG: Numbers Stations,549094,18727,1392
juyvnVL6V7g,Humans vs Superhumans | When Monsters Were Real and We Almost Went Extinct,4140815,186258,18164
D5DVy-ZCieA,"AFTER FILES! Baltic Sea, Atlantis, Underwater Alien Bases",658266,16678,952
tgqAt6YN1jE,"Baltic Sea Anomaly, Atlantis, and Underwater Alien Bases | Mysteries of the Ocean Pt 1",3042369,163358,9754
XWqh9F4pjHg,Project 8200 Exposed | CIA Psychics Find Alien Bases Underground,5081989,196355,11590
UhXsyhXAe_M,New Year's Eve Live Hang-Out,391460,15698,657
GDL70lKAz0A,Proof of Life After Death: Hope and a Warning From The Other Side,3028749,144809,11668
IlAS26MrbIk,"Hang-Out: Christmas Day Edition } Watch-Along, AMA, Goof Off",255998,11662,574
pohEbP5IquU,Christmas Watch-Along / AMA / Goof-off,325037,14459,879
9PZeEvLwoYs,"AFTER FILES! Book of Enoch, Aliens, Giants and the Search for Noah's Ark",397976,11577,1117
n84o7Ggw2Fw,The Search for Noah's Ark | Giants & Aliens in the Book of Enoch,5464921,190944,15235
SOr7vqmIwto,Go Hecklefish: James Pond vs. Dr. Human,175571,10983,996
N0rAnnCoPCI,"""Our Home"" Hecklefish Plushie Promo",277370,10367,884
4yEkCSyTTxg,"Mystery in Cisco Grove: Don Shrum’s Encounter with UFOs, Aliens and Robots",2573432,124762,7135
CjA6oGWaP2k,"Pajamas, Champagne and 3 Million Friends",270261,18571,1598
_nGePkIW3Ac,Project Looking Glass | The Time Warriors of the 2012 Apocalypse,5337918,187343,13291
KhnrDrQNkyc,Thanksgiving Live Stream Watch-Along (cleaned up version linked below),379715,15333,615
8L6M2mRcux4,The UFO Incident That Shocked Ariel School: Telepathic Extraterrestrials (Re-Edit),1804243,81054,5550
AazxDk1ODVo,Kenny Veach Vanishes on his Quest for the M Cave | Mojave Mysteries Vol. 1,3008303,155295,12334
j-tGHCHVM_o,Backyard Time Machine: The Time Travel Mystery of Mike “Mad Man” Marcum,4418760,189193,12445
SWa9BcDLf_Y,Gobekli Tepe After Files,394006,12057,834
r4xzFWW-FAA,Göbekli Tepe and the Prophecy of Pillar 43 | Apocalypse and the Vulture Stone,7075518,282507,19101
XLhMi6YEhsQ,20 And Back - The Super Soldiers Defending the Kuiper Belt,4114193,164406,9646
eIgbsZ05O2A,"Gravity is a Lie, Light Speed is Slow, Nothing is Real, the Universe is Electric",3359165,178703,16646
uoi2dwH-1go,Time-Slip Artifacts: Modern Objects in the Ancient World - Volume 1,5111623,186218,8045
X2NgC5oisCo,The Shocking Truth Behind the Knights Templar's Obsession with the Ark,953108,45360,1148
M0DjcbGwoyQ,Mysterious Sounds After Files!,245736,7078,427
j_TTKx9ILi8,"Skyquakes, Upsweeps, and Sky Trumpets | Terrifying Sounds that Signal the End of the World",3185809,154951,13423
24HeQwh60jY,"Plum Island After Files! Q&A, AMA, Weird Videos, NASA Lies!",253813,8711,649
